# gunzip -c exp/mono_t9/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sun Feb 24 23:08:22 EST 2019
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.6,25) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,20.4,54) frames.
Overall, nonsilence accounts for 94.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,18) frames.
Overall, cl accounts for 8.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,11) frames.
Overall, sil accounts for 5.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.7,45) frames.
Overall, ix accounts for 5.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,8) frames.
Overall, vcl accounts for 5.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,9) frames.
Overall, n accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,13) frames.
Overall, s accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,20) frames.
Overall, r accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,15) frames.
Overall, iy accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,22) frames.
Overall, l accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,19) frames.
Overall, ih accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,11) frames.
Overall, er accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,19) frames.
Overall, t accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.1,12) frames.
Overall, ax accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.3,9) frames.
Overall, k accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,8) frames.
Overall, m accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,14) frames.
Overall, z accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,17) frames.
Overall, eh accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,14) frames.
Overall, p accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.2,8) frames.
Overall, d accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,13) frames.
Overall, ae accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,20) frames.
Overall, ey accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.7,25) frames.
Overall, dh accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,15) frames.
Overall, b accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,12) frames.
Overall, ah accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.3,15) frames.
Overall, w accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,18) frames.
Overall, aa accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,21) frames.
Overall, f accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,18) frames.
Overall, v accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.1,12) frames.
Overall, ay accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.2,28) frames.
Overall, ao accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.1,26) frames.
Overall, dx accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.6,11) frames.
Overall, uw accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,19) frames.
Overall, hh accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.1,29) frames.
Overall, ow accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.5,25) frames.
Overall, sh accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.1,27) frames.
Overall, ng accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,17) frames.
Overall, g accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,10) frames.
Overall, jh accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,16) frames.
Overall, y accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.8,28) frames.
Overall, epi accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.4,9) frames.
Overall, el accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,20) frames.
Overall, ch accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,16) frames.
Overall, th accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,14) frames.
Overall, aw accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,17.5,35) frames.
The optional-silence phone sil occupies 12.3% of frames overall 
Limiting the stats to the 88.8% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 1.2% of frames.
