# gunzip -c exp/mono_t10/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon Feb 25 15:35:46 EST 2019
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.6,55) frames.
At utterance end, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,18.7,44) frames.
Overall, nonsilence accounts for 94.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,16) frames.
Overall, cl accounts for 8.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,9) frames.
Overall, sil accounts for 5.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,18.0,47) frames.
Overall, vcl accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.5,9) frames.
Overall, ix accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.1,8) frames.
Overall, n accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,11) frames.
Overall, s accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.3,21) frames.
Overall, iy accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,19) frames.
Overall, r accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,13) frames.
Overall, ih accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, l accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,15) frames.
Overall, er accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,17) frames.
Overall, m accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,13) frames.
Overall, t accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,10) frames.
Overall, z accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,17) frames.
Overall, k accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,11) frames.
Overall, ax accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.1,7) frames.
Overall, eh accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,15) frames.
Overall, d accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.1,7) frames.
